recording_id,subject_id,s3_url
sub-028_ses-3_task-picture,sub-028,s3://openneuro.org/ds006914/sub-028/ses-3/ieeg/sub-028_ses-3_task-picture
sub-029_ses-1_task-picture,sub-029,s3://openneuro.org/ds006914/sub-029/ses-1/ieeg/sub-029_ses-1_task-picture
sub-029_ses-2_task-picture,sub-029,s3://openneuro.org/ds006914/sub-029/ses-2/ieeg/sub-029_ses-2_task-picture
sub-029_ses-3_task-picture,sub-029,s3://openneuro.org/ds006914/sub-029/ses-3/ieeg/sub-029_ses-3_task-picture
sub-030_ses-1_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-1/ieeg/sub-030_ses-1_task-picture
sub-030_ses-2_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-2/ieeg/sub-030_ses-2_task-picture
sub-030_ses-3_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-3/ieeg/sub-030_ses-3_task-picture
sub-030_ses-4_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-4/ieeg/sub-030_ses-4_task-picture
sub-030_ses-5_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-5/ieeg/sub-030_ses-5_task-picture
sub-031_ses-1_task-picture,sub-031,s3://openneuro.org/ds006914/sub-031/ses-1/ieeg/sub-031_ses-1_task-picture
sub-031_ses-2_task-picture,sub-031,s3://openneuro.org/ds006914/sub-031/ses-2/ieeg/sub-031_ses-2_task-picture
sub-031_ses-3_task-picture,sub-031,s3://openneuro.org/ds006914/sub-031/ses-3/ieeg/sub-031_ses-3_task-picture
sub-031_ses-4_task-picture,sub-031,s3://openneuro.org/ds006914/sub-031/ses-4/ieeg/sub-031_ses-4_task-picture
sub-032_ses-1_task-picture,sub-032,s3://openneuro.org/ds006914/sub-032/ses-1/ieeg/sub-032_ses-1_task-picture
sub-032_ses-2_task-picture,sub-032,s3://openneuro.org/ds006914/sub-032/ses-2/ieeg/sub-032_ses-2_task-picture
sub-033_ses-1_task-picture,sub-033,s3://openneuro.org/ds006914/sub-033/ses-1/ieeg/sub-033_ses-1_task-picture
sub-033_ses-2_task-picture,sub-033,s3://openneuro.org/ds006914/sub-033/ses-2/ieeg/sub-033_ses-2_task-picture
sub-033_ses-3_task-picture,sub-033,s3://openneuro.org/ds006914/sub-033/ses-3/ieeg/sub-033_ses-3_task-picture
sub-033_ses-4_task-picture,sub-033,s3://openneuro.org/ds006914/sub-033/ses-4/ieeg/sub-033_ses-4_task-picture
sub-034_ses-1_task-picture,sub-034,s3://openneuro.org/ds006914/sub-034/ses-1/ieeg/sub-034_ses-1_task-picture
sub-034_ses-2_task-picture,sub-034,s3://openneuro.org/ds006914/sub-034/ses-2/ieeg/sub-034_ses-2_task-picture
sub-034_ses-3_task-picture,sub-034,s3://openneuro.org/ds006914/sub-034/ses-3/ieeg/sub-034_ses-3_task-picture
sub-035_ses-1_task-picture,sub-035,s3://openneuro.org/ds006914/sub-035/ses-1/ieeg/sub-035_ses-1_task-picture
sub-035_ses-2_task-picture,sub-035,s3://openneuro.org/ds006914/sub-035/ses-2/ieeg/sub-035_ses-2_task-picture
sub-035_ses-3_task-picture,sub-035,s3://openneuro.org/ds006914/sub-035/ses-3/ieeg/sub-035_ses-3_task-picture
sub-035_ses-4_task-picture,sub-035,s3://openneuro.org/ds006914/sub-035/ses-4/ieeg/sub-035_ses-4_task-picture
sub-036_ses-1_task-picture,sub-036,s3://openneuro.org/ds006914/sub-036/ses-1/ieeg/sub-036_ses-1_task-picture
sub-036_ses-2_task-picture,sub-036,s3://openneuro.org/ds006914/sub-036/ses-2/ieeg/sub-036_ses-2_task-picture
sub-036_ses-3_task-picture,sub-036,s3://openneuro.org/ds006914/sub-036/ses-3/ieeg/sub-036_ses-3_task-picture
sub-037_ses-1_task-picture,sub-037,s3://openneuro.org/ds006914/sub-037/ses-1/ieeg/sub-037_ses-1_task-picture
sub-037_ses-2_task-picture,sub-037,s3://openneuro.org/ds006914/sub-037/ses-2/ieeg/sub-037_ses-2_task-picture
sub-037_ses-3_task-picture,sub-037,s3://openneuro.org/ds006914/sub-037/ses-3/ieeg/sub-037_ses-3_task-picture
sub-038_ses-1_task-picture,sub-038,s3://openneuro.org/ds006914/sub-038/ses-1/ieeg/sub-038_ses-1_task-picture
sub-038_ses-2_task-picture,sub-038,s3://openneuro.org/ds006914/sub-038/ses-2/ieeg/sub-038_ses-2_task-picture
sub-038_ses-3_task-picture,sub-038,s3://openneuro.org/ds006914/sub-038/ses-3/ieeg/sub-038_ses-3_task-picture
sub-039_ses-1_task-picture,sub-039,s3://openneuro.org/ds006914/sub-039/ses-1/ieeg/sub-039_ses-1_task-picture
sub-039_ses-2_task-picture,sub-039,s3://openneuro.org/ds006914/sub-039/ses-2/ieeg/sub-039_ses-2_task-picture
sub-039_ses-3_task-picture,sub-039,s3://openneuro.org/ds006914/sub-039/ses-3/ieeg/sub-039_ses-3_task-picture
sub-039_ses-4_task-picture,sub-039,s3://openneuro.org/ds006914/sub-039/ses-4/ieeg/sub-039_ses-4_task-picture
sub-040_ses-1_task-picture,sub-040,s3://openneuro.org/ds006914/sub-040/ses-1/ieeg/sub-040_ses-1_task-picture
sub-040_ses-2_task-picture,sub-040,s3://openneuro.org/ds006914/sub-040/ses-2/ieeg/sub-040_ses-2_task-picture
sub-040_ses-3_task-picture,sub-040,s3://openneuro.org/ds006914/sub-040/ses-3/ieeg/sub-040_ses-3_task-picture
sub-040_ses-4_task-picture,sub-040,s3://openneuro.org/ds006914/sub-040/ses-4/ieeg/sub-040_ses-4_task-picture
sub-041_ses-1_task-picture,sub-041,s3://openneuro.org/ds006914/sub-041/ses-1/ieeg/sub-041_ses-1_task-picture
sub-041_ses-2_task-picture,sub-041,s3://openneuro.org/ds006914/sub-041/ses-2/ieeg/sub-041_ses-2_task-picture
sub-041_ses-3_task-picture,sub-041,s3://openneuro.org/ds006914/sub-041/ses-3/ieeg/sub-041_ses-3_task-picture
sub-042_ses-1_task-picture,sub-042,s3://openneuro.org/ds006914/sub-042/ses-1/ieeg/sub-042_ses-1_task-picture
sub-042_ses-2_task-picture,sub-042,s3://openneuro.org/ds006914/sub-042/ses-2/ieeg/sub-042_ses-2_task-picture
sub-042_ses-3_task-picture,sub-042,s3://openneuro.org/ds006914/sub-042/ses-3/ieeg/sub-042_ses-3_task-picture
sub-043_ses-1_task-picture,sub-043,s3://openneuro.org/ds006914/sub-043/ses-1/ieeg/sub-043_ses-1_task-picture
sub-043_ses-2_task-picture,sub-043,s3://openneuro.org/ds006914/sub-043/ses-2/ieeg/sub-043_ses-2_task-picture
sub-043_ses-3_task-picture,sub-043,s3://openneuro.org/ds006914/sub-043/ses-3/ieeg/sub-043_ses-3_task-picture
sub-044_ses-1_task-picture,sub-044,s3://openneuro.org/ds006914/sub-044/ses-1/ieeg/sub-044_ses-1_task-picture
sub-044_ses-2_task-picture,sub-044,s3://openneuro.org/ds006914/sub-044/ses-2/ieeg/sub-044_ses-2_task-picture
sub-044_ses-3_task-picture,sub-044,s3://openneuro.org/ds006914/sub-044/ses-3/ieeg/sub-044_ses-3_task-picture
sub-045_ses-1_task-picture,sub-045,s3://openneuro.org/ds006914/sub-045/ses-1/ieeg/sub-045_ses-1_task-picture
sub-045_ses-2_task-picture,sub-045,s3://openneuro.org/ds006914/sub-045/ses-2/ieeg/sub-045_ses-2_task-picture
sub-045_ses-3_task-picture,sub-045,s3://openneuro.org/ds006914/sub-045/ses-3/ieeg/sub-045_ses-3_task-picture
sub-046_ses-1_task-picture,sub-046,s3://openneuro.org/ds006914/sub-046/ses-1/ieeg/sub-046_ses-1_task-picture
sub-046_ses-2_task-picture,sub-046,s3://openneuro.org/ds006914/sub-046/ses-2/ieeg/sub-046_ses-2_task-picture
sub-046_ses-3_task-picture,sub-046,s3://openneuro.org/ds006914/sub-046/ses-3/ieeg/sub-046_ses-3_task-picture
sub-046_ses-4_task-picture,sub-046,s3://openneuro.org/ds006914/sub-046/ses-4/ieeg/sub-046_ses-4_task-picture
sub-047_ses-1_task-picture,sub-047,s3://openneuro.org/ds006914/sub-047/ses-1/ieeg/sub-047_ses-1_task-picture
sub-047_ses-2_task-picture,sub-047,s3://openneuro.org/ds006914/sub-047/ses-2/ieeg/sub-047_ses-2_task-picture
sub-047_ses-3_task-picture,sub-047,s3://openneuro.org/ds006914/sub-047/ses-3/ieeg/sub-047_ses-3_task-picture
sub-048_ses-1_task-picture,sub-048,s3://openneuro.org/ds006914/sub-048/ses-1/ieeg/sub-048_ses-1_task-picture
sub-048_ses-2_task-picture,sub-048,s3://openneuro.org/ds006914/sub-048/ses-2/ieeg/sub-048_ses-2_task-picture
sub-048_ses-3_task-picture,sub-048,s3://openneuro.org/ds006914/sub-048/ses-3/ieeg/sub-048_ses-3_task-picture
sub-049_ses-1_task-picture,sub-049,s3://openneuro.org/ds006914/sub-049/ses-1/ieeg/sub-049_ses-1_task-picture
sub-049_ses-2_task-picture,sub-049,s3://openneuro.org/ds006914/sub-049/ses-2/ieeg/sub-049_ses-2_task-picture
sub-049_ses-3_task-picture,sub-049,s3://openneuro.org/ds006914/sub-049/ses-3/ieeg/sub-049_ses-3_task-picture
sub-050_ses-1_task-picture,sub-050,s3://openneuro.org/ds006914/sub-050/ses-1/ieeg/sub-050_ses-1_task-picture
sub-050_ses-2_task-picture,sub-050,s3://openneuro.org/ds006914/sub-050/ses-2/ieeg/sub-050_ses-2_task-picture
sub-050_ses-3_task-picture,sub-050,s3://openneuro.org/ds006914/sub-050/ses-3/ieeg/sub-050_ses-3_task-picture
sub-051_ses-1_task-picture,sub-051,s3://openneuro.org/ds006914/sub-051/ses-1/ieeg/sub-051_ses-1_task-picture
sub-051_ses-2_task-picture,sub-051,s3://openneuro.org/ds006914/sub-051/ses-2/ieeg/sub-051_ses-2_task-picture
